regime,pred_col,series_name,mean_weekly,ann_mean,weekly_vol,ann_vol,sharpe,hit_rate,max_drawdown,n_weeks
calm,pred_fe_b1,top_return,-0.0011964762588956613,-0.06221676546257439,0.014850373598280358,0.10708756693679299,-0.5809896259880197,0.4927536231884058,-0.32794665135499795,207
calm,pred_fe_b1,bottom_return,-0.0024816537901985736,-0.12904599709032583,0.016731952151921622,0.12065582284472688,-1.0695380798686884,0.4492753623188406,-0.41236408261056007,207
calm,pred_fe_b1,exclude_bottom_return,-0.0014019550278581176,-0.07290166144862212,0.012823745304663634,0.09247334247891062,-0.7883532647827453,0.5120772946859904,-0.3092127254583246,207
calm,pred_fe_b1,equal_weight_return,-0.0016171246639536828,-0.08409048252559151,0.012874318915209532,0.09283803397092778,-0.9057762096935876,0.4927536231884058,-0.3279584675930492,207
calm,pred_fe_b1,long_short_return,0.0012851775313029111,0.06682923162775138,0.014865766731791774,0.10719856840112393,0.6234153368325271,0.5314009661835749,-0.12126930624472476,207
calm,pred_fe_b1,top_minus_equal_weight,0.00042064840505802117,0.0218737170630171,0.007880445717537416,0.05682670221618352,0.38491969813422927,0.5314009661835749,-0.0949467856876404,207
calm,pred_fe_b1,exclude_bottom_minus_equal_weight,0.00021516963609556497,0.011188821076969379,0.002301347795775608,0.01659525496068997,0.6742180884519648,0.5169082125603864,-0.018284735399820406,207
other,pred_fe_b1,top_return,0.0005134265066624357,0.02669817834644666,0.01666338746387508,0.12016139584785088,0.2221859870889987,0.5049019607843137,-0.30151449729871677,204
other,pred_fe_b1,bottom_return,-0.0016344728129699504,-0.08499258627443741,0.01825082246693379,0.13160855244783992,-0.6457983519583372,0.4852941176470588,-0.4354430033689669,204
other,pred_fe_b1,exclude_bottom_return,0.0002868196576920683,0.014914622199987551,0.01391579462711326,0.10034822213376628,0.14862866409437772,0.5196078431372549,-0.2913859738281514,204
other,pred_fe_b1,equal_weight_return,-9.40602796791604e-05,-0.004891134543316341,0.014094802945781144,0.1016390694771496,-0.04812258286579415,0.49019607843137253,-0.3200537103772384,204
other,pred_fe_b1,long_short_return,0.0021478993196323852,0.11169076462088404,0.016905149745177445,0.12190476845126853,0.9162132543283771,0.6029411764705882,-0.1710132845080123,204
other,pred_fe_b1,top_minus_equal_weight,0.0006074867863415959,0.03158931288976299,0.00926931451676075,0.06684197755716718,0.4725969225363799,0.5441176470588235,-0.1280819547070927,204
other,pred_fe_b1,exclude_bottom_minus_equal_weight,0.0003808799373712283,0.01980575674330387,0.002365011202022194,0.017054338311875486,1.161332464567827,0.6274509803921569,-0.018592859762137478,204
stress,pred_fe_b1,top_return,0.002860809252076755,0.14876208110799127,0.016094437118381287,0.11605863656010924,1.2817838078852857,0.6116504854368932,-0.11944487239009773,103
stress,pred_fe_b1,bottom_return,-0.0028142942384815554,-0.14634330040104088,0.03249557264741494,0.23432890681163931,-0.6245209026587405,0.5436893203883495,-0.4553005170323312,103
stress,pred_fe_b1,exclude_bottom_return,0.0007367117452818873,0.03830901075465814,0.014841057941442339,0.10702039078000478,0.35795992217415473,0.5922330097087378,-0.18567244338973268,103
stress,pred_fe_b1,equal_weight_return,3.557620273849673e-05,0.0018499625424018302,0.01754481071558323,0.12651742930669074,0.014622195159509112,0.5728155339805825,-0.24800697832616764,103
stress,pred_fe_b1,long_short_return,0.005675103490558313,0.29510538150903226,0.03175306018242844,0.22897457328127935,1.2888128899208202,0.5145631067961165,-0.17899559503329582,103
stress,pred_fe_b1,top_minus_equal_weight,0.0028252330493382604,0.14691211856558953,0.015270310103465004,0.11011577214055777,1.3341605449404914,0.5145631067961165,-0.07959655756264515,103
stress,pred_fe_b1,exclude_bottom_minus_equal_weight,0.0007011355425433905,0.036459048212256304,0.004379677085077065,0.03158230060044004,1.1544139444910584,0.5631067961165048,-0.027873223462726998,103
calm,pred_fe_b2,top_return,-0.0014540212347798097,-0.0756091042085501,0.014542516939627869,0.10486758100026386,-0.7209959788083589,0.5217391304347826,-0.34955291708509234,207
calm,pred_fe_b2,bottom_return,-0.0029586270581445384,-0.153848607023516,0.016716005478814445,0.12054082974960491,-1.2763194624020766,0.43478260869565216,-0.47084630840940994,207
calm,pred_fe_b2,exclude_bottom_return,-0.0012841349260431089,-0.06677501615424167,0.01276557807628707,0.09205389262998397,-0.7253904668936463,0.5169082125603864,-0.30613782758291413,207
calm,pred_fe_b2,equal_weight_return,-0.0016171246639536828,-0.08409048252559151,0.012874318915209532,0.09283803397092778,-0.9057762096935876,0.4927536231884058,-0.3279584675930492,207
calm,pred_fe_b2,long_short_return,0.0015046058233647284,0.07823950281496587,0.013921034564312327,0.10038600785826918,0.779386534878735,0.5458937198067633,-0.12482958637414958,207
calm,pred_fe_b2,top_minus_equal_weight,0.00016310342917387266,0.008481378317041379,0.007716918546403429,0.05564749101527319,0.15241259151672357,0.5265700483091788,-0.10900654079728822,207
calm,pred_fe_b2,exclude_bottom_minus_equal_weight,0.0003329897379105738,0.017315466371349838,0.002229946601260624,0.01608037362478366,1.0768074657582958,0.5410628019323671,-0.019051133860662255,207
other,pred_fe_b2,top_return,0.0007135591309740076,0.0371050748106484,0.01618532486003256,0.11671403738577882,0.3179144140820332,0.5196078431372549,-0.2871142849794588,204
other,pred_fe_b2,bottom_return,-0.0015474996089639916,-0.08046997966612757,0.017862598307591477,0.12880902822207468,-0.6247231329731978,0.4852941176470588,-0.4411657648196011,204
other,pred_fe_b2,exclude_bottom_return,0.00026574053671725873,0.013818507909297454,0.013915755624551749,0.10034794088229548,0.13770594381708404,0.5343137254901961,-0.29091863591280803,204
other,pred_fe_b2,equal_weight_return,-9.40602796791604e-05,-0.004891134543316341,0.014094802945781144,0.1016390694771496,-0.04812258286579415,0.49019607843137253,-0.3200537103772384,204
other,pred_fe_b2,long_short_return,0.0022610587399379996,0.11757505447677598,0.015881973000342903,0.11452653601654199,1.0266184463991268,0.6029411764705882,-0.16545469673364377,204
other,pred_fe_b2,top_minus_equal_weight,0.0008076194106531678,0.041996209353964725,0.008879504310973747,0.06403101618783877,0.6558729168184113,0.5637254901960784,-0.10065593898738935,204
other,pred_fe_b2,exclude_bottom_minus_equal_weight,0.0003598008163964188,0.01870964245261378,0.0022141450741706694,0.01596642719247673,1.1718114658381198,0.6225490196078431,-0.02245574617007756,204
stress,pred_fe_b2,top_return,0.0025413781798896283,0.13215166535426068,0.015736366567752656,0.11347655309905892,1.1645724314422854,0.5922330097087378,-0.128425638600459,103
stress,pred_fe_b2,bottom_return,-0.0031745146708138353,-0.16507476288231943,0.032729789506438525,0.23601786860121463,-0.6994163783473379,0.5339805825242718,-0.45942415604005044,103
stress,pred_fe_b2,exclude_bottom_return,0.0008261674633740178,0.04296070809544893,0.014851174857578116,0.10709334489975901,0.4011519869480292,0.5922330097087378,-0.1841762945538706,103
stress,pred_fe_b2,equal_weight_return,3.557620273849673e-05,0.0018499625424018302,0.01754481071558323,0.12651742930669074,0.014622195159509112,0.5728155339805825,-0.24800697832616764,103
stress,pred_fe_b2,long_short_return,0.005715892850703464,0.29722642823658013,0.03176589011074674,0.22906709121010368,1.2975518511472242,0.5533980582524272,-0.17907682767223948,103
stress,pred_fe_b2,top_minus_equal_weight,0.002505801977151132,0.13030170281185885,0.014894951521821537,0.10740902291495585,1.2131355381105078,0.5145631067961165,-0.08162215315735456,103
stress,pred_fe_b2,exclude_bottom_minus_equal_weight,0.000790591260635521,0.04111074555304709,0.004473431144386228,0.032258370736684194,1.2744210142732344,0.5533980582524272,-0.02737255516854774,103
calm,pred_fe_b3,top_return,-0.0013256861597264959,-0.06893568030577779,0.014332546507379336,0.10335346268065702,-0.6669895571740659,0.4975845410628019,-0.3105325096555141,207
calm,pred_fe_b3,bottom_return,-0.0028300393749067713,-0.1471620474951521,0.016870076248128613,0.12165184986722974,-1.209698394687496,0.42995169082125606,-0.44914878925606877,207
calm,pred_fe_b3,exclude_bottom_return,-0.0013165008448168473,-0.06845804393047605,0.012692820049347336,0.09152922703631836,-0.7479364367767711,0.5120772946859904,-0.3141701360019233,207
calm,pred_fe_b3,equal_weight_return,-0.0016171246639536828,-0.08409048252559151,0.012874318915209532,0.09283803397092778,-0.9057762096935876,0.4927536231884058,-0.3279584675930492,207
calm,pred_fe_b3,long_short_return,0.0015043532151802748,0.07822636718937429,0.01384005317457083,0.09980204275212658,0.7838152910723607,0.5265700483091788,-0.12483594027548636,207
calm,pred_fe_b3,top_minus_equal_weight,0.00029143850422718657,0.015154802219813702,0.0075819617187770924,0.05467430349131177,0.27718326987415454,0.48792270531400966,-0.09153522535902722,207
calm,pred_fe_b3,exclude_bottom_minus_equal_weight,0.0003006238191368357,0.015632438595115455,0.002204459426799768,0.015896582996013035,0.9833835736293874,0.5362318840579711,-0.01630042366897207,207
other,pred_fe_b3,top_return,0.0005720326748220739,0.02974569909074784,0.016558995759206906,0.1194086165600225,0.2491084810097915,0.5392156862745098,-0.28131422090786773,204
other,pred_fe_b3,bottom_return,-0.001380810118830947,-0.07180212617920924,0.018315957353439452,0.1320782467940753,-0.5436332471247649,0.49019607843137253,-0.4262886871466568,204
other,pred_fe_b3,exclude_bottom_return,0.00022426296835458836,0.011661674354438595,0.01389734041549945,0.10021514692132258,0.11636638484992694,0.5245098039215687,-0.29366184125995404,204
other,pred_fe_b3,equal_weight_return,-9.40602796791604e-05,-0.004891134543316341,0.014094802945781144,0.1016390694771496,-0.04812258286579415,0.49019607843137253,-0.3200537103772384,204
other,pred_fe_b3,long_short_return,0.0019528427936530211,0.10154782526995709,0.016915027742648317,0.1219759997040288,0.8325230005604374,0.6127450980392157,-0.1755157202652532,204
other,pred_fe_b3,top_minus_equal_weight,0.000666092954501234,0.03463683363406417,0.00911277564627627,0.06571315970889717,0.5270912825909138,0.5784313725490197,-0.11536049567744906,204
other,pred_fe_b3,exclude_bottom_minus_equal_weight,0.00031832324803374883,0.01655280889775494,0.002368196182267353,0.01707730553104601,0.9692869210346121,0.5882352941176471,-0.023697647685567116,204
stress,pred_fe_b3,top_return,0.0025217766629680935,0.13113238647434086,0.015798353845683618,0.11392354971707197,1.1510560090517443,0.6116504854368932,-0.1198021716284662,103
stress,pred_fe_b3,bottom_return,-0.0030416558940545516,-0.15816610649083668,0.03217715541891309,0.2320327675229302,-0.6816541826369683,0.5048543689320388,-0.4589199933757933,103
stress,pred_fe_b3,exclude_bottom_return,0.0007920681043343196,0.04118754142538462,0.014954386992188404,0.10783761818693398,0.38194038516306045,0.5922330097087378,-0.18438742977745864,103
stress,pred_fe_b3,equal_weight_return,3.557620273849673e-05,0.0018499625424018302,0.01754481071558323,0.12651742930669074,0.014622195159509112,0.5728155339805825,-0.24800697832616764,103
stress,pred_fe_b3,long_short_return,0.005563432557022644,0.2892984929651775,0.030522255910627794,0.22009911745720465,1.3144009676523476,0.5728155339805825,-0.17060383398963405,103
stress,pred_fe_b3,top_minus_equal_weight,0.002486200460229597,0.12928242393193906,0.014269737911381869,0.10290054345383948,1.2563823240635683,0.5145631067961165,-0.07211562895187253,103
stress,pred_fe_b3,exclude_bottom_minus_equal_weight,0.0007564919015958236,0.039337578882982824,0.0043474218725208565,0.03134970495489524,1.2547990145227919,0.5631067961165048,-0.02739469457032205,103
calm,pred_rf_b1,top_return,-0.000207408881805564,-0.010785261853889328,0.015462412949219934,0.11150104546162166,-0.09672789891106072,0.5217391304347826,-0.28819564957944854,207
calm,pred_rf_b1,bottom_return,-0.0033447660497437767,-0.17392783458667638,0.016291912712505997,0.11748265332064796,-1.4804554516824826,0.41545893719806765,-0.5153879534177266,207
calm,pred_rf_b1,exclude_bottom_return,-0.00119040360464475,-0.06190098744152701,0.012897894551412395,0.09300804030129,-0.6655444759507362,0.48792270531400966,-0.31701871739181664,207
calm,pred_rf_b1,equal_weight_return,-0.0016171246639536828,-0.08409048252559151,0.012874318915209532,0.09283803397092778,-0.9057762096935876,0.4927536231884058,-0.3279584675930492,207
calm,pred_rf_b1,long_short_return,0.003137357167938213,0.1631425727327871,0.014254051500814408,0.10278742713858155,1.587184126253424,0.6183574879227053,-0.0969676811074984,207
calm,pred_rf_b1,top_minus_equal_weight,0.0014097157821481188,0.07330522067170218,0.008434704868657212,0.06082352179469866,1.2052117093635872,0.5555555555555556,-0.07521171586619563,207
calm,pred_rf_b1,exclude_bottom_minus_equal_weight,0.00042672105930893257,0.022189495084064495,0.002226012132600841,0.016052001767794553,1.382350650408207,0.5942028985507246,-0.0244969396187551,207
other,pred_rf_b1,top_return,0.00233516434864964,0.12142854612978127,0.019977078865071583,0.14405676436400708,0.8429215154586691,0.5441176470588235,-0.23351834846124658,204
other,pred_rf_b1,bottom_return,-0.002836910729284964,-0.14751935792281812,0.017277981695913585,0.12459329788228937,-1.1840071691672238,0.4411764705882353,-0.4767117468276564,204
other,pred_rf_b1,exclude_bottom_return,0.000580621868093378,0.030192337140855657,0.014337179116078947,0.10338686889706823,0.29203260977866624,0.5392156862745098,-0.28593462995172503,204
other,pred_rf_b1,equal_weight_return,-9.40602796791604e-05,-0.004891134543316341,0.014094802945781144,0.1016390694771496,-0.04812258286579415,0.49019607843137253,-0.3200537103772384,204
other,pred_rf_b1,long_short_return,0.005172075077934604,0.2689479040525994,0.018668032580115634,0.13461709735927846,1.9978732963971626,0.6421568627450981,-0.10805785876641458,204
other,pred_rf_b1,top_minus_equal_weight,0.0024292246283287994,0.12631968067309757,0.011655460693805565,0.08404872234134209,1.5029339786996754,0.5833333333333334,-0.084204324784924,204
other,pred_rf_b1,exclude_bottom_minus_equal_weight,0.0006746821477725379,0.035083471684171974,0.0024991308494114136,0.01802148884329345,1.9467576729781677,0.6078431372549019,-0.011370551767916154,204
stress,pred_rf_b1,top_return,0.00029709381043523466,0.015448878142632202,0.022515584536305644,0.16236218908538816,0.09515071353532598,0.5436893203883495,-0.2381952871493184,103
stress,pred_rf_b1,bottom_return,-0.0026424879744555312,-0.13740937467168762,0.02495759767840174,0.17997179628375698,-0.7635050463964794,0.5436893203883495,-0.3779184113135632,103
stress,pred_rf_b1,exclude_bottom_return,0.0006959165298629431,0.03618765955287304,0.017671883689408967,0.12743376555239952,0.2839723004025414,0.5728155339805825,-0.21633688972597712,103
stress,pred_rf_b1,equal_weight_return,3.557620273849673e-05,0.0018499625424018302,0.01754481071558323,0.12651742930669074,0.014622195159509112,0.5728155339805825,-0.24800697832616764,103
stress,pred_rf_b1,long_short_return,0.0029395817848907654,0.1528582528143198,0.02711586185395844,0.19553526058569037,0.781742650182175,0.5048543689320388,-0.17665830058784407,103
stress,pred_rf_b1,top_minus_equal_weight,0.0002615176076967379,0.01359891560023037,0.018042098112236473,0.1301034197212413,0.10452389052776101,0.4563106796116505,-0.1251151375509738,103
stress,pred_rf_b1,exclude_bottom_minus_equal_weight,0.0006603403271244466,0.03433769701047122,0.004027387911161154,0.029041907239750697,1.1823499306365108,0.5631067961165048,-0.02511167204094168,103
calm,pred_rf_b2,top_return,-0.0008527229504072294,-0.044341593421175926,0.016047693184443722,0.11572156125885166,-0.3831748633427998,0.5072463768115942,-0.3447525652178069,207
calm,pred_rf_b2,bottom_return,-0.0034654833385190736,-0.1802051336029918,0.015695056552547965,0.11317866234303751,-1.5922182668743798,0.40096618357487923,-0.5331514949966245,207
calm,pred_rf_b2,exclude_bottom_return,-0.001159772434287318,-0.06030816658294054,0.013092150410334291,0.09440883922109439,-0.6387978824917644,0.4975845410628019,-0.3082662317901317,207
calm,pred_rf_b2,equal_weight_return,-0.0016171246639536828,-0.08409048252559151,0.012874318915209532,0.09283803397092778,-0.9057762096935876,0.4927536231884058,-0.3279584675930492,207
calm,pred_rf_b2,long_short_return,0.0026127603881118443,0.1358635401818159,0.015013973054020652,0.10826729938941225,1.2548898970237208,0.5748792270531401,-0.14720416520940283,207
calm,pred_rf_b2,top_minus_equal_weight,0.0007644017135464534,0.039748889104415576,0.008554370176594217,0.061686440602020776,0.6443699574248647,0.5555555555555556,-0.1242658720325163,207
calm,pred_rf_b2,exclude_bottom_minus_equal_weight,0.0004573522296663646,0.02378231594265096,0.0022437328525022333,0.016179787696279764,1.4698781213377263,0.6038647342995169,-0.02519553486255678,207
other,pred_rf_b2,top_return,0.002652366788290396,0.13792307299110057,0.020461997282135824,0.147553560798291,0.9347322575267735,0.5735294117647058,-0.25904272713723514,204
other,pred_rf_b2,bottom_return,-0.0031444816686368427,-0.16351304676911582,0.016762683973065632,0.12087743315857312,-1.3527177281685916,0.44607843137254904,-0.4911826391442332,204
other,pred_rf_b2,exclude_bottom_return,0.0006578769299571595,0.0342096003577723,0.01457688171389999,0.10511538891167961,0.32544806913587115,0.5343137254901961,-0.28941120895509354,204
